ProductID,CustomerID,Quantity,UnitPrice,Discount,Customer
10002,12673,1,0.85,9.09,1
10002,12754,1,0.85,9.09,0
10002,12748,1,0.85,9.09,1
10002,13069,1,0.85,9.09,1
10002,14525,1,0.85,9.09,1
10002,17085,1,0.85,9.09,1
10002,17967,1,0.85,9.09,1
10120,12748,1,0.21,9.09,1
10120,13316,1,0.21,9.09,1
10120,14446,1,0.21,9.09,1
10120,15854,1,0.21,9.09,1
10120,15877,1,0.21,9.09,1
10120,16657,1,0.21,9.09,1
10120,16657,1,0.21,9.09,1
10120,17950,1,0.21,9.09,1
10120,17967,1,0.21,9.09,1
10125,13758,1,0.85,9.09,1
10125,13983,1,0.85,9.09,1
10125,14064,1,0.85,9.09,0
10125,14465,1,0.85,9.09,1
10125,15048,1,0.85,9.09,1
10125,15514,1,0.85,9.09,1
10125,15529,1,0.85,9.09,1
10125,16121,1,0.85,9.09,1
10125,16657,1,0.85,9.09,1
10125,16710,1,0.85,9.09,1
10125,16898,1,0.85,9.09,1
10125,17920,1,0.85,9.09,1
10125,17975,1,0.85,9.09,1
10125,17975,1,0.85,9.09,1
10133,12748,1,0.85,9.09,1
10133,14779,1,0.85,9.09,1
10133,18118,1,0.85,9.09,1
10135,14096,1,2.46,9.09,1
11001,14096,1,3.29,9.09,1
15030,17338,1,0.29,9.09,1
15034,14404,1,0.14,9.09,1
15034,14866,1,0.14,9.09,1
15034,15426,1,0.14,9.09,1
15034,16469,1,0.14,9.09,1
15036,14031,1,0.83,9.09,1
15039,14335,1,0.85,9.09,0
15039,12748,1,0.85,9.09,1
15039,13521,1,0.85,9.09,1
15039,14031,1,0.85,9.09,1
15039,15034,1,0.85,9.09,1
15039,15426,1,0.85,9.09,1
15039,15426,1,0.85,9.09,1
15039,16369,1,0.85,9.09,1
15039,16504,1,0.85,9.09,1
15039,17433,1,0.85,9.09,1
15039,17883,1,0.85,9.09,1
15039,18196,1,0.85,9.09,1
16008,12748,1,0.25,9.09,1
16011,14971,1,0.21,9.09,1
16012,17750,1,0.21,9.09,1
16014,12748,1,0.42,9.09,1
16014,14667,1,0.42,9.09,1
16014,15351,1,0.42,9.09,1
16014,16657,1,0.42,9.09,1
16014,17816,1,0.42,9.09,1
16014,17841,1,0.42,9.09,1
16014,18196,1,0.42,9.09,1
16015,12748,1,0.5,9.09,1
16015,17816,1,0.5,9.09,1
16015,18196,1,0.5,9.09,1
16016,17841,1,0.85,9.09,1
16016,18196,1,0.85,9.09,1
16046,14704,1,0.85,9.09,1
16046,15714,1,0.85,9.09,1
16046,15714,1,0.85,9.09,1
16046,15850,1,0.85,9.09,1
16046,18041,1,0.85,9.09,1
